nombre,codigo,carrera,semestre,seccion,es_obligatorio,no_periodos,solo_tarde,necesita_salon,laboratorio
Área Matemática Básica 1,3000,AREA COMUN,1,A,FALSE,3,TRUE,FALSE,TRUE
Resistencia De Materiales 2,677,ING. CIVIL,6,A,FALSE,3,TRUE,FALSE,TRUE
Ingenieria De Plantas,952,ING. INDUSTRIAL,8,D,FALSE,3,TRUE,FALSE,TRUE
Área Matemática Intermedia 1,3013,AREA COMUN,3,D,FALSE,3,TRUE,FALSE,TRUE
Deportes 1,3082,AREA COMUN,1,F,FALSE,3,TRUE,FALSE,TRUE
Matematica Aplicada 3,674,ING. CIVIL,5,A,FALSE,3,TRUE,FALSE,TRUE
Matemática Aplicada 3,3027,AREA COMUN,5,A,FALSE,3,TRUE,FALSE,TRUE
Organizacion Computacional,2804,ING. SISTEMAS,5,A,FALSE,3,TRUE,FALSE,TRUE
Legislacion 2,764,ING. CIVIL,5,A,FALSE,3,TRUE,FALSE,TRUE
Legislación 2,3018,AREA COMUN,5,A,FALSE,3,TRUE,FALSE,TRUE
Área Social Humanística 1,3003,AREA COMUN,1,D,FALSE,3,TRUE,FALSE,TRUE
Contabilidad 1,694,ING. INDUSTRIAL,4,A,FALSE,3,TRUE,FALSE,TRUE
Prácticas Iniciales(Mecánica),3020,AREA COMUN,2,A,FALSE,3,TRUE,FALSE,TRUE
Área Social Humanística 1,3003,AREA COMUN,1,B,FALSE,3,TRUE,FALSE,TRUE
Practicas Iniciales(Civil),3164,AREA COMUN,3,A,FALSE,3,TRUE,FALSE,TRUE
Área Matemática Básica 1,3000,AREA COMUN,1,C,FALSE,3,TRUE,FALSE,TRUE
Área Matemática Intermedia 1,3013,AREA COMUN,3,C,FALSE,3,TRUE,FALSE,TRUE
Técnicas De Estudio E Investigación,3005,AREA COMUN,1,A,FALSE,3,TRUE,FALSE,TRUE
Puentes,1071,ING. CIVIL,9,A,FALSE,3,TRUE,FALSE,TRUE
Investigacion De Operaciones 2,795,ING. INDUSTRIAL,7,A,FALSE,3,TRUE,FALSE,TRUE
Practica Final,2829,ING. SISTEMAS,9,A,FALSE,3,TRUE,FALSE,TRUE
Matemática Para Computación 1,3231,ING. SISTEMAS,2,A,FALSE,3,TRUE,FALSE,TRUE
Deportes 1,3082,AREA COMUN,1,F,FALSE,3,TRUE,FALSE,FALSE
Redes De Computadoras 1,2816,ING. SISTEMAS,7,A,FALSE,3,TRUE,FALSE,TRUE
Analisis Estructural 1,745,ING. CIVIL,7,A,FALSE,3,TRUE,FALSE,TRUE
Área Matemática Básica 1,3000,AREA COMUN,1,A,FALSE,3,TRUE,FALSE,TRUE
Área Matemática Intermedia 2,3021,AREA COMUN,4,E,FALSE,3,TRUE,FALSE,TRUE
Matematica Intermedia 2,291,ING. CIVIL,4,A,FALSE,3,TRUE,FALSE,TRUE
Técnicas De Estudio E Investigación,3005,AREA COMUN,1,B,FALSE,3,TRUE,FALSE,TRUE
Administracion De Empresas 1,943,ING. INDUSTRIAL,7,A,FALSE,3,TRUE,FALSE,TRUE
Área Social Humanística 1,3003,AREA COMUN,1,C,FALSE,3,TRUE,FALSE,TRUE
Logica,85,ING. SISTEMAS,3,A,FALSE,3,TRUE,FALSE,TRUE
Pavimentos,1067,ING. CIVIL,9,A,FALSE,3,TRUE,FALSE,TRUE
Área Matemática Intermedia 1,3013,AREA COMUN,3,C,FALSE,3,TRUE,FALSE,TRUE
Área Matemática Básica 2,3006,AREA COMUN,2,A,FALSE,3,TRUE,FALSE,TRUE
Física 2,3023,AREA COMUN,4,B,FALSE,3,TRUE,FALSE,TRUE
Fisica 2,147,ING. CIVIL,4,A,FALSE,3,TRUE,FALSE,TRUE
Costos Presupuestos Y Avaluos,911,ING. CIVIL,9,B,FALSE,3,TRUE,FALSE,TRUE
Microeconomia,796,ING. INDUSTRIAL,6,A,FALSE,3,TRUE,FALSE,TRUE
Ingenieria Electrica 2,676,ING. MECANICA,7,A,FALSE,3,TRUE,FALSE,TRUE
Estadística 1,3015,AREA COMUN,4,A,FALSE,3,TRUE,FALSE,TRUE
Estadistica 1,949,ING. SISTEMAS,4,A,FALSE,3,TRUE,FALSE,TRUE
Contabilidad 3,919,ING. INDUSTRIAL,7,A,FALSE,3,TRUE,FALSE,TRUE
Organizacion De Lenguajes Y Compiladores 1,2803,ING. SISTEMAS,7,A,FALSE,3,TRUE,FALSE,TRUE
Legislacion 1,680,ING. CIVIL,4,A,FALSE,3,TRUE,FALSE,TRUE
Legislación 1,3087,AREA COMUN,4,A,FALSE,3,TRUE,FALSE,TRUE
Maquinas Hidraulicas,769,ING. MECANICA,7,A,FALSE,3,TRUE,FALSE,TRUE
Deportes 1,3082,AREA COMUN,1,F,FALSE,3,TRUE,FALSE,TRUE
Seminario De Sistemas 2,2828,ING. SISTEMAS,9,A,FALSE,3,TRUE,FALSE,TRUE
Teoria De Sistemas 2,2813,ING. SISTEMAS,7,A,FALSE,3,TRUE,FALSE,TRUE
Teoria De Sistemas 1,2808,ING. SISTEMAS,6,A,FALSE,3,TRUE,FALSE,TRUE
Área Matemática Básica 1,3000,AREA COMUN,1,A,FALSE,3,TRUE,FALSE,TRUE
Matematica De Computo 2,2799,ING. SISTEMAS,4,E,FALSE,3,TRUE,FALSE,TRUE
Matemática Para Computación 2,3233,ING. SISTEMAS,4,A,FALSE,3,TRUE,FALSE,TRUE
Topografia 2,747,ING. CIVIL,5,A,FALSE,3,TRUE,FALSE,TRUE
Ingenieria Economica 1,690,ING. INDUSTRIAL,5,A,FALSE,3,TRUE,FALSE,TRUE
Logica,85,ING. SISTEMAS,3,C,FALSE,3,TRUE,FALSE,TRUE
Química General 1,3001,AREA COMUN,1,A,FALSE,3,TRUE,FALSE,TRUE
Área Matemática Intermedia 1,3013,AREA COMUN,3,A,FALSE,3,TRUE,FALSE,TRUE
Química General 1,3001,AREA COMUN,1,D,FALSE,3,TRUE,FALSE,TRUE
Pavimentos,1067,ING. CIVIL,9,A,FALSE,3,TRUE,FALSE,TRUE
Área Matemática Intermedia 2,3021,AREA COMUN,4,A,FALSE,3,TRUE,FALSE,TRUE
Matematica Intermedia 2,291,ING. CIVIL,4,B,FALSE,2,TRUE,FALSE,TRUE
Área Matemática Básica 2,3006,AREA COMUN,2,A,FALSE,2,TRUE,FALSE,TRUE
Física Básica,3007,AREA COMUN,2,C,FALSE,2,TRUE,FALSE,TRUE
Cimentaciones 1,799,ING. CIVIL,8,A,FALSE,3,TRUE,FALSE,TRUE
Analisis Probalistico,2802,ING. SISTEMAS,7,A,FALSE,3,TRUE,FALSE,TRUE
Montaje Y Mantenimiento De Equipo,744,ING. MECANICA,7,A,FALSE,3,TRUE,FALSE,TRUE
Modelacion Y Simulacion 1,2824,ING. SISTEMAS,7,A,FALSE,3,TRUE,FALSE,TRUE
Contabilidad 3,919,ING. INDUSTRIAL,7,A,FALSE,3,TRUE,FALSE,TRUE
Mecanica De Suelos,748,ING. CIVIL,6,A,FALSE,3,TRUE,FALSE,TRUE
Metalurgia Y Metalografia,682,ING. MECANICA,6,A,FALSE,3,TRUE,FALSE,TRUE
Dibujo Tecnico Mecanico,68,ING. MECANICA,4,A,FALSE,3,TRUE,FALSE,TRUE
Dibujo Técnico Mecánico,3016,AREA COMUN,4,A,FALSE,3,TRUE,FALSE,TRUE
Deportes 1,3082,AREA COMUN,1,F,FALSE,3,TRUE,FALSE,TRUE
Diseño Estructural Asistido Por Computadora,2860,ING. CIVIL,9,A,FALSE,3,TRUE,FALSE,TRUE
Analisis Y Dise?O De Sistemas 2,2827,ING. SISTEMAS,9,A,FALSE,3,TRUE,FALSE,TRUE
Lógica De Sistemas,3232,ING. SISTEMAS,3,A,FALSE,3,TRUE,FALSE,TRUE
Ciencia De Los Materiales,678,ING. MECANICA,5,A,FALSE,3,TRUE,FALSE,TRUE
Ciencia De Los Materiales,3032,AREA COMUN,5,A,FALSE,3,TRUE,FALSE,TRUE
Procesos De Manufactura 1,687,ING. MECANICA,5,A,FALSE,3,TRUE,FALSE,TRUE
Plantas De Vapor,695,ING. MECANICA,8,A,FALSE,3,TRUE,FALSE,TRUE
Logica,85,ING. SISTEMAS,3,C,FALSE,3,TRUE,FALSE,TRUE
Planeamiento,912,ING. CIVIL,9,A,FALSE,3,TRUE,FALSE,TRUE
Área Matemática Intermedia 1,3013,AREA COMUN,3,A,FALSE,3,TRUE,FALSE,TRUE
Área Técnica Complementaria 1,3004,AREA COMUN,1,D,FALSE,3,TRUE,FALSE,TRUE
Área Matemática Básica 1,3000,AREA COMUN,1,D,FALSE,3,TRUE,FALSE,TRUE
Introduccion A La Programacion Y Computacion 2,2800,ING. SISTEMAS,4,A,FALSE,3,TRUE,FALSE,TRUE
Química General 1,3001,AREA COMUN,1,B,FALSE,3,TRUE,FALSE,TRUE
Diseño Estructural,932,ING. CIVIL,8,A,FALSE,3,TRUE,FALSE,TRUE
Principios De Metrología,3035,ING. MECANICA,7,A,FALSE,3,TRUE,FALSE,TRUE
Procesos De Manufactura 2,698,ING. MECANICA,7,A,FALSE,3,TRUE,FALSE,TRUE
Estructura De Datos,2805,ING. SISTEMAS,3,A,FALSE,3,TRUE,FALSE,TRUE
Diseño De La Produccion,907,ING. INDUSTRIAL,7,A,FALSE,3,TRUE,FALSE,TRUE
Sistemas De Bases De Datos 1,2817,ING. SISTEMAS,5,A,FALSE,3,TRUE,FALSE,TRUE
Materiales De Construccion,679,ING. CIVIL,6,A,FALSE,3,TRUE,FALSE,TRUE
Área Técnica Complementaria 1,3004,AREA COMUN,1,A,FALSE,3,TRUE,FALSE,TRUE
Área Técnica Complementaria 1,3004,AREA COMUN,1,C,FALSE,3,TRUE,FALSE,TRUE
Deportes 1,3082,AREA COMUN,1,F,FALSE,3,TRUE,FALSE,TRUE
Concreto Armado 1,935,ING. CIVIL,7,A,FALSE,3,TRUE,FALSE,TRUE
Practica Intermedia Ti,2818,ING. SISTEMAS,7,A,FALSE,3,TRUE,FALSE,TRUE
Etica Profesional,2570,ING. CIVIL,1,A,FALSE,3,TRUE,FALSE,TRUE
Ética Profesional,3019,AREA COMUN,1,A,FALSE,3,TRUE,FALSE,TRUE
Ingenieria Electrica 1,670,ING. MECANICA,5,A,FALSE,3,TRUE,FALSE,TRUE
Ingeniería Eléctrica 1,3033,AREA COMUN,5,A,FALSE,3,TRUE,FALSE,TRUE
Diseño De Maquinas 2,699,ING. MECANICA,9,A,FALSE,3,TRUE,FALSE,TRUE
Diseño Estructural En Mamposteria,1057,ING. CIVIL,9,A,FALSE,3,TRUE,FALSE,TRUE
Hidrologia,749,ING. CIVIL,7,B,FALSE,3,TRUE,FALSE,TRUE
Ética Profesional,3019,AREA COMUN,1,D,FALSE,3,TRUE,FALSE,TRUE
Área Técnica Complementaria 1,3004,AREA COMUN,1,D,FALSE,3,TRUE,FALSE,TRUE
Área Matemática Básica 1,3000,AREA COMUN,1,A,FALSE,3,TRUE,FALSE,TRUE
Obras Hidraulicas,788,ING. CIVIL,9,A,FALSE,3,TRUE,FALSE,TRUE
Mecanica Analitica 2,118,ING. MECANICA,5,A,FALSE,3,TRUE,FALSE,TRUE
Mecánica Analítica 2,3029,AREA COMUN,5,A,FALSE,3,TRUE,FALSE,TRUE
Ecología,3163,AREA COMUN,3,A,FALSE,3,TRUE,FALSE,TRUE
Matematica Aplicada 1,673,ING. CIVIL,4,A,FALSE,3,TRUE,FALSE,TRUE
Matemática Aplicada 1,3028,AREA COMUN,4,A,FALSE,3,TRUE,FALSE,TRUE
Programacion De Computadoras 1,87,ING. SISTEMAS,4,A,FALSE,3,TRUE,FALSE,TRUE
Controles Industriales,931,ING. MECANICA INDUSTRIAL,9,B,FALSE,3,TRUE,FALSE,TRUE
Área Matemática Intermedia 3,3022,AREA COMUN,4,B,FALSE,3,TRUE,FALSE,TRUE
Matematica Intermedia 3,292,ING. CIVIL,4,A,FALSE,3,TRUE,FALSE,TRUE
Ecologia,94,ING. CIVIL,3,A,FALSE,3,TRUE,FALSE,TRUE
Diseño De La Produccion,907,ING. INDUSTRIAL,7,A,FALSE,3,TRUE,FALSE,TRUE
Sistemas Organizacionales Y Gerenciales 1,2825,ING. SISTEMAS,9,A,FALSE,3,TRUE,FALSE,TRUE
Analisis Mecanico,906,ING. MECANICA,7,B,FALSE,3,TRUE,FALSE,TRUE
Área Técnica Complementaria 1,3004,AREA COMUN,1,C,FALSE,3,TRUE,FALSE,TRUE
Área Técnica Complementaria 1,3004,AREA COMUN,1,B,FALSE,3,TRUE,FALSE,TRUE
Área Técnica Complementaria 1,3004,AREA COMUN,1,A,FALSE,3,TRUE,FALSE,TRUE
Sistemas Operativos 1,2814,ING. SISTEMAS,7,A,FALSE,3,TRUE,FALSE,TRUE
Geografía,3165,AREA COMUN,3,A,FALSE,3,TRUE,FALSE,TRUE
Estadística 1,3015,AREA COMUN,4,A,FALSE,3,TRUE,FALSE,TRUE
Estadistica 1,949,ING. SISTEMAS,4,B,FALSE,3,TRUE,FALSE,TRUE
Mecanismos,693,ING. MECANICA,7,A,FALSE,3,TRUE,FALSE,TRUE
Inteligencia Artificial,2826,ING. SISTEMAS,9,A,FALSE,3,TRUE,FALSE,TRUE
Diseño Estructural En Mamposteria,1057,ING. CIVIL,9,A,FALSE,3,TRUE,FALSE,TRUE
Saneamiento Ambiental,920,ING. CIVIL,8,A,FALSE,3,TRUE,FALSE,TRUE
Diseño De Maquinas 1,683,ING. MECANICA,7,A,FALSE,3,TRUE,FALSE,TRUE
Topografia 1,746,ING. CIVIL,3,A,FALSE,3,TRUE,FALSE,TRUE
Obras Hidraulicas,788,ING. CIVIL,9,A,FALSE,2,TRUE,FALSE,TRUE
Mecanica De Fluidos,671,ING. MECANICA,6,A,FALSE,2,TRUE,FALSE,TRUE
Mecánica De Fluidos,3034,AREA COMUN,6,A,FALSE,2,TRUE,FALSE,TRUE
Hidraulica,686,ING. MECANICA,6,A,FALSE,2,TRUE,FALSE,TRUE
Matematica Aplicada 1,673,ING. CIVIL,4,A,FALSE,2,TRUE,FALSE,TRUE
Matemática Aplicada 1,3028,AREA COMUN,4,A,FALSE,2,TRUE,FALSE,TRUE
Programacion De Computadoras 2,794,ING. SISTEMAS,5,A,FALSE,2,TRUE,FALSE,TRUE
Termodinamica 1,684,ING. MECANICA,7,A,FALSE,2,TRUE,FALSE,TRUE
Vias Terrestres 1,940,ING. CIVIL,7,A,FALSE,2,TRUE,FALSE,TRUE
Practicas Finales Civil,2586,ING. CIVIL,9,B,FALSE,2,TRUE,FALSE,TRUE
Área Técnica Complementaria 1,3004,AREA COMUN,1,C,FALSE,2,TRUE,FALSE,TRUE
Área Técnica Complementaria 1,3004,AREA COMUN,1,A,FALSE,2,TRUE,FALSE,TRUE
Área Técnica Complementaria 1,3004,AREA COMUN,1,A,FALSE,2,TRUE,FALSE,TRUE
Preparacion Y Evaluacion De Proyectos 1,909,ING. INDUSTRIAL,9,A,FALSE,2,TRUE,FALSE,TRUE
Practicas Finales Mecánica,2741,ING. MECANICA,10,A,FALSE,2,TRUE,FALSE,TRUE
Practicas Finales Civil,2586,ING. CIVIL,9,A,FALSE,2,TRUE,FALSE,TRUE
